order,page_ref,page_name,sheet_ref,sheet_title,route,orientation,filename,relative_path,group,width_px,height_px,dpi,feature_count
27,P11,Job Discovery,P11-A4-02,Job Results and Relevance,/jobs,Landscape,P11-A4-02_Job_Discovery_Job_Results_and_Relevance.png,images/04_Jobs_and_Applications/P11_Job_Discovery/P11-A4-02_Job_Discovery_Job_Results_and_Relevance.png,Jobs and Applications,3508,2480,300,6
28,P11,Job Discovery,P11-A4-03,"Loading, No Results and Search Errors",/jobs,Landscape,P11-A4-03_Job_Discovery_Loading_No_Results_and_Search_Errors.png,images/04_Jobs_and_Applications/P11_Job_Discovery/P11-A4-03_Job_Discovery_Loading_No_Results_and_Search_Errors.png,Jobs and Applications,3508,2480,300,6
29,P12,Job Details and Role Intelligence,P12-A4-01,Job Overview and Requirements,/jobs/:jobId,Landscape,P12-A4-01_Job_Details_and_Role_Intelligence_Job_Overview_and_Requirements.png,images/04_Jobs_and_Applications/P12_Job_Details_and_Role_Intelligence/P12-A4-01_Job_Details_and_Role_Intelligence_Job_Overview_and_Requirements.png,Jobs and Applications,3508,2480,300,9
30,P12,Job Details and Role Intelligence,P12-A4-02,Role Intelligence and Extracted Fields,/jobs/:jobId,Landscape,P12-A4-02_Job_Details_and_Role_Intelligence_Role_Intelligence_and_Extracted_Fields.png,images/04_Jobs_and_Applications/P12_Job_Details_and_Role_Intelligence/P12-A4-02_Job_Details_and_Role_Intelligence_Role_Intelligence_and_Extracted_Fields.png,Jobs and Applications,3508,2480,300,8
31,P12,Job Details and Role Intelligence,P12-A4-03,"Profile Fit, Skill Gaps and Actions",/jobs/:jobId,Landscape,P12-A4-03_Job_Details_and_Role_Intelligence_Profile_Fit_Skill_Gaps_and_Actions.png,images/04_Jobs_and_Applications/P12_Job_Details_and_Role_Intelligence/P12-A4-03_Job_Details_and_Role_Intelligence_Profile_Fit_Skill_Gaps_and_Actions.png,Jobs and Applications,3508,2480,300,8
32,P13,Saved Jobs,P13-A4-01,Saved Job Library,/saved-jobs,Landscape,P13-A4-01_Saved_Jobs_Saved_Job_Library.png,images/04_Jobs_and_Applications/P13_Saved_Jobs/P13-A4-01_Saved_Jobs_Saved_Job_Library.png,Jobs and Applications,3508,2480,300,6
33,P13,Saved Jobs,P13-A4-02,"Notes, Status and Preparation Actions",/saved-jobs,Landscape,P13-A4-02_Saved_Jobs_Notes_Status_and_Preparation_Actions.png,images/04_Jobs_and_Applications/P13_Saved_Jobs/P13-A4-02_Saved_Jobs_Notes_Status_and_Preparation_Actions.png,Jobs and Applications,3508,2480,300,6
34,P14,Applications Tracker,P14-A4-01,Application Board,/applications,Landscape,P14-A4-01_Applications_Tracker_Application_Board.png,images/04_Jobs_and_Applications/P14_Applications_Tracker/P14-A4-01_Applications_Tracker_Application_Board.png,Jobs and Applications,3508,2480,300,7
35,P14,Applications Tracker,P14-A4-02,"List View, Filters and Linked Assets",/applications,Landscape,P14-A4-02_Applications_Tracker_List_View_Filters_and_Linked_Assets.png,images/04_Jobs_and_Applications/P14_Applications_Tracker/P14-A4-02_Applications_Tracker_List_View_Filters_and_Linked_Assets.png,Jobs and Applications,3508,2480,300,7
36,P14,Applications Tracker,P14-A4-03,"Deadlines, Reminders and Pipeline Insights",/applications,Landscape,P14-A4-03_Applications_Tracker_Deadlines_Reminders_and_Pipeline_Insights.png,images/04_Jobs_and_Applications/P14_Applications_Tracker/P14-A4-03_Applications_Tracker_Deadlines_Reminders_and_Pipeline_Insights.png,Jobs and Applications,3508,2480,300,6
37,P15,Application Detail,P15-A4-01,"Application Overview, Stage and Timeline",/applications/:applicationId,Portrait,P15-A4-01_Application_Detail_Application_Overview_Stage_and_Timeline.png,images/04_Jobs_and_Applications/P15_Application_Detail/P15-A4-01_Application_Detail_Application_Overview_Stage_and_Timeline.png,Jobs and Applications,2480,3508,300,8
38,P15,Application Detail,P15-A4-02,"Documents, Tasks, Contacts and Activity",/applications/:applicationId,Portrait,P15-A4-02_Application_Detail_Documents_Tasks_Contacts_and_Activity.png,images/04_Jobs_and_Applications/P15_Application_Detail/P15-A4-02_Application_Detail_Documents_Tasks_Contacts_and_Activity.png,Jobs and Applications,2480,3508,300,8
39,P16,Interview Preparation Overview,P16-A4-01,Role Selection and Pack Creation,/interview-prep,Landscape,P16-A4-01_Interview_Preparation_Overview_Role_Selection_and_Pack_Creation.png,images/05_Interview_Preparation/P16_Interview_Preparation_Overview/P16-A4-01_Interview_Preparation_Overview_Role_Selection_and_Pack_Creation.png,Interview Preparation,3508,2480,300,7
40,P16,Interview Preparation Overview,P16-A4-02,"Saved Packs, Category Progress and Next Practice",/interview-prep,Landscape,P16-A4-02_Interview_Preparation_Overview_Saved_Packs_Category_Progress_and_Next_Practice.png,images/05_Interview_Preparation/P16_Interview_Preparation_Overview/P16-A4-02_Interview_Preparation_Overview_Saved_Packs_Category_Progress_and_Next_Practice.png,Interview Preparation,3508,2480,300,7
41,P17,Interview Pack Detail,P17-A4-01,"Role Introduction, Expectations and Skill Map",/interview-packs/:packId,Portrait,P17-A4-01_Interview_Pack_Detail_Role_Introduction_Expectations_and_Skill_Map.png,images/05_Interview_Preparation/P17_Interview_Pack_Detail/P17-A4-01_Interview_Pack_Detail_Role_Introduction_Expectations_and_Skill_Map.png,Interview Preparation,2480,3508,300,6
42,P17,Interview Pack Detail,P17-A4-02,HR and Behavioural Questions,/interview-packs/:packId,Portrait,P17-A4-02_Interview_Pack_Detail_HR_and_Behavioural_Questions.png,images/05_Interview_Preparation/P17_Interview_Pack_Detail/P17-A4-02_Interview_Pack_Detail_HR_and_Behavioural_Questions.png,Interview Preparation,2480,3508,300,6
43,P17,Interview Pack Detail,P17-A4-03,Technical and Conceptual Questions,/interview-packs/:packId,Portrait,P17-A4-03_Interview_Pack_Detail_Technical_and_Conceptual_Questions.png,images/05_Interview_Preparation/P17_Interview_Pack_Detail/P17-A4-03_Interview_Pack_Detail_Technical_and_Conceptual_Questions.png,Interview Preparation,2480,3508,300,5
44,P17,Interview Pack Detail,P17-A4-04,"Scenario, Case Study and Practical Tasks",/interview-packs/:packId,Portrait,P17-A4-04_Interview_Pack_Detail_Scenario_Case_Study_and_Practical_Tasks.png,images/05_Interview_Preparation/P17_Interview_Pack_Detail/P17-A4-04_Interview_Pack_Detail_Scenario_Case_Study_and_Practical_Tasks.png,Interview Preparation,2480,3508,300,5
45,P17,Interview Pack Detail,P17-A4-05,Question-Specific Study Material,/interview-packs/:packId,Portrait,P17-A4-05_Interview_Pack_Detail_Question_Specific_Study_Material.png,images/05_Interview_Preparation/P17_Interview_Pack_Detail/P17-A4-05_Interview_Pack_Detail_Question_Specific_Study_Material.png,Interview Preparation,2480,3508,300,5
46,P17,Interview Pack Detail,P17-A4-06,"Practice, Feedback, Retry and Progress",/interview-packs/:packId,Portrait,P17-A4-06_Interview_Pack_Detail_Practice_Feedback_Retry_and_Progress.png,images/05_Interview_Preparation/P17_Interview_Pack_Detail/P17-A4-06_Interview_Pack_Detail_Practice_Feedback_Retry_and_Progress.png,Interview Preparation,2480,3508,300,5
47,P18,Mock Interview Session,P18-A4-01,Session Configuration,/mock-interview/:sessionId,Landscape,P18-A4-01_Mock_Interview_Session_Session_Configuration.png,images/05_Interview_Preparation/P18_Mock_Interview_Session/P18-A4-01_Mock_Interview_Session_Session_Configuration.png,Interview Preparation,3508,2480,300,6
48,P18,Mock Interview Session,P18-A4-02,Question and Response Session,/mock-interview/:sessionId,Landscape,P18-A4-02_Mock_Interview_Session_Question_and_Response_Session.png,images/05_Interview_Preparation/P18_Mock_Interview_Session/P18-A4-02_Mock_Interview_Session_Question_and_Response_Session.png,Interview Preparation,3508,2480,300,6
49,P18,Mock Interview Session,P18-A4-03,"Feedback, Results and Answer History",/mock-interview/:sessionId,Landscape,P18-A4-03_Mock_Interview_Session_Feedback_Results_and_Answer_History.png,images/05_Interview_Preparation/P18_Mock_Interview_Session/P18-A4-03_Mock_Interview_Session_Feedback_Results_and_Answer_History.png,Interview Preparation,3508,2480,300,5
50,P19,Skill Library,P19-A4-01,Skill Search and Role Recommendations,/skills,Landscape,P19-A4-01_Skill_Library_Skill_Search_and_Role_Recommendations.png,images/06_Skills_and_Assessments/P19_Skill_Library/P19-A4-01_Skill_Library_Skill_Search_and_Role_Recommendations.png,Skills and Assessments,3508,2480,300,7
51,P19,Skill Library,P19-A4-02,"Categories, Priority and Progress",/skills,Landscape,P19-A4-02_Skill_Library_Categories_Priority_and_Progress.png,images/06_Skills_and_Assessments/P19_Skill_Library/P19-A4-02_Skill_Library_Categories_Priority_and_Progress.png,Skills and Assessments,3508,2480,300,7
52,P20,Skill Detail,P20-A4-01,"Skill Overview, Importance and Outcomes",/skills/:skillId,Portrait,P20-A4-01_Skill_Detail_Skill_Overview_Importance_and_Outcomes.png,images/06_Skills_and_Assessments/P20_Skill_Detail/P20-A4-01_Skill_Detail_Skill_Overview_Importance_and_Outcomes.png,Skills and Assessments,2480,3508,300,5
53,P20,Skill Detail,P20-A4-02,"Concepts, Examples and Study Notes",/skills/:skillId,Portrait,P20-A4-02_Skill_Detail_Concepts_Examples_and_Study_Notes.png,images/06_Skills_and_Assessments/P20_Skill_Detail/P20-A4-02_Skill_Detail_Concepts_Examples_and_Study_Notes.png,Skills and Assessments,2480,3508,300,5
54,P20,Skill Detail,P20-A4-03,"Tools, Related Skills and Progress History",/skills/:skillId,Portrait,P20-A4-03_Skill_Detail_Tools_Related_Skills_and_Progress_History.png,images/06_Skills_and_Assessments/P20_Skill_Detail/P20-A4-03_Skill_Detail_Tools_Related_Skills_and_Progress_History.png,Skills and Assessments,2480,3508,300,5
55,P21,Skill Practice Session,P21-A4-01,Flashcards and Concept Review,/skills/:skillId/practice,Portrait,P21-A4-01_Skill_Practice_Session_Flashcards_and_Concept_Review.png,images/06_Skills_and_Assessments/P21_Skill_Practice_Session/P21-A4-01_Skill_Practice_Session_Flashcards_and_Concept_Review.png,Skills and Assessments,2480,3508,300,5
56,P21,Skill Practice Session,P21-A4-02,Quiz and Knowledge Check,/skills/:skillId/practice,Portrait,P21-A4-02_Skill_Practice_Session_Quiz_and_Knowledge_Check.png,images/06_Skills_and_Assessments/P21_Skill_Practice_Session/P21-A4-02_Skill_Practice_Session_Quiz_and_Knowledge_Check.png,Skills and Assessments,2480,3508,300,5
57,P21,Skill Practice Session,P21-A4-03,Practical Exercise and Coding Task,/skills/:skillId/practice,Portrait,P21-A4-03_Skill_Practice_Session_Practical_Exercise_and_Coding_Task.png,images/06_Skills_and_Assessments/P21_Skill_Practice_Session/P21-A4-03_Skill_Practice_Session_Practical_Exercise_and_Coding_Task.png,Skills and Assessments,2480,3508,300,4
58,P21,Skill Practice Session,P21-A4-04,"Mini Project, Reflection and Completion",/skills/:skillId/practice,Portrait,P21-A4-04_Skill_Practice_Session_Mini_Project_Reflection_and_Completion.png,images/06_Skills_and_Assessments/P21_Skill_Practice_Session/P21-A4-04_Skill_Practice_Session_Mini_Project_Reflection_and_Completion.png,Skills and Assessments,2480,3508,300,4
59,P22,Assessment Results,P22-A4-01,Results Summary and Score Breakdown,/assessments/:assessmentId/results,Landscape,P22-A4-01_Assessment_Results_Results_Summary_and_Score_Breakdown.png,images/06_Skills_and_Assessments/P22_Assessment_Results/P22-A4-01_Assessment_Results_Results_Summary_and_Score_Breakdown.png,Skills and Assessments,3508,2480,300,7
60,P22,Assessment Results,P22-A4-02,"Strengths, Gaps and Recommended Next Actions",/assessments/:assessmentId/results,Landscape,P22-A4-02_Assessment_Results_Strengths_Gaps_and_Recommended_Next_Actions.png,images/06_Skills_and_Assessments/P22_Assessment_Results/P22-A4-02_Assessment_Results_Strengths_Gaps_and_Recommended_Next_Actions.png,Skills and Assessments,3508,2480,300,6
61,P23,Roadmap Generator,P23-A4-01,Career Target and Context,/roadmap/new,Portrait,P23-A4-01_Roadmap_Generator_Career_Target_and_Context.png,images/07_Career_Roadmap/P23_Roadmap_Generator/P23-A4-01_Roadmap_Generator_Career_Target_and_Context.png,Career Roadmap,2480,3508,300,6
62,P23,Roadmap Generator,P23-A4-02,"Skills, Timeline and Learning Pace",/roadmap/new,Portrait,P23-A4-02_Roadmap_Generator_Skills_Timeline_and_Learning_Pace.png,images/07_Career_Roadmap/P23_Roadmap_Generator/P23-A4-02_Roadmap_Generator_Skills_Timeline_and_Learning_Pace.png,Career Roadmap,2480,3508,300,6
63,P23,Roadmap Generator,P23-A4-03,"Review, Generate and Success Summary",/roadmap/new,Portrait,P23-A4-03_Roadmap_Generator_Review_Generate_and_Success_Summary.png,images/07_Career_Roadmap/P23_Roadmap_Generator/P23-A4-03_Roadmap_Generator_Review_Generate_and_Success_Summary.png,Career Roadmap,2480,3508,300,5
64,P24,Roadmap Overview,P24-A4-01,Roadmap Summary and Current Phase,/roadmap | /roadmap/:roadmapId,Landscape,P24-A4-01_Roadmap_Overview_Roadmap_Summary_and_Current_Phase.png,images/07_Career_Roadmap/P24_Roadmap_Overview/P24-A4-01_Roadmap_Overview_Roadmap_Summary_and_Current_Phase.png,Career Roadmap,3508,2480,300,6
65,P24,Roadmap Overview,P24-A4-02,"Milestones, Skills and Month-by-Month Timeline",/roadmap | /roadmap/:roadmapId,Landscape,P24-A4-02_Roadmap_Overview_Milestones_Skills_and_Month_by_Month_Timeline.png,images/07_Career_Roadmap/P24_Roadmap_Overview/P24-A4-02_Roadmap_Overview_Milestones_Skills_and_Month_by_Month_Timeline.png,Career Roadmap,3508,2480,300,5
66,P24,Roadmap Overview,P24-A4-03,"Progress, Recommendations and Next Actions",/roadmap | /roadmap/:roadmapId,Landscape,P24-A4-03_Roadmap_Overview_Progress_Recommendations_and_Next_Actions.png,images/07_Career_Roadmap/P24_Roadmap_Overview/P24-A4-03_Roadmap_Overview_Progress_Recommendations_and_Next_Actions.png,Career Roadmap,3508,2480,300,5
67,P25,Roadmap Milestone and Learning Detail,P25-A4-01,Milestone Overview and Skill Plan,/roadmap/:roadmapId/milestones/:milestoneId,Portrait,P25-A4-01_Roadmap_Milestone_and_Learning_Detail_Milestone_Overview_and_Skill_Plan.png,images/07_Career_Roadmap/P25_Roadmap_Milestone_and_Learning_Detail/P25-A4-01_Roadmap_Milestone_and_Learning_Detail_Milestone_Overview_and_Skill_Plan.png,Career Roadmap,2480,3508,300,5
68,P25,Roadmap Milestone and Learning Detail,P25-A4-02,Study Material and Key Concepts,/roadmap/:roadmapId/milestones/:milestoneId,Portrait,P25-A4-02_Roadmap_Milestone_and_Learning_Detail_Study_Material_and_Key_Concepts.png,images/07_Career_Roadmap/P25_Roadmap_Milestone_and_Learning_Detail/P25-A4-02_Roadmap_Milestone_and_Learning_Detail_Study_Material_and_Key_Concepts.png,Career Roadmap,2480,3508,300,5
69,P25,Roadmap Milestone and Learning Detail,P25-A4-03,"Flashcards, Quizzes and Exercises",/roadmap/:roadmapId/milestones/:milestoneId,Portrait,P25-A4-03_Roadmap_Milestone_and_Learning_Detail_Flashcards_Quizzes_and_Exercises.png,images/07_Career_Roadmap/P25_Roadmap_Milestone_and_Learning_Detail/P25-A4-03_Roadmap_Milestone_and_Learning_Detail_Flashcards_Quizzes_and_Exercises.png,Career Roadmap,2480,3508,300,4
70,P25,Roadmap Milestone and Learning Detail,P25-A4-04,"Mini Project, Reflection and Completion",/roadmap/:roadmapId/milestones/:milestoneId,Portrait,P25-A4-04_Roadmap_Milestone_and_Learning_Detail_Mini_Project_Reflection_and_Completion.png,images/07_Career_Roadmap/P25_Roadmap_Milestone_and_Learning_Detail/P25-A4-04_Roadmap_Milestone_and_Learning_Detail_Mini_Project_Reflection_and_Completion.png,Career Roadmap,2480,3508,300,4
71,P26,Study-Abroad Dashboard,P26-A4-01,"Study Goal, Destination and Intake Overview",/study-abroad,Landscape,P26-A4-01_Study_Abroad_Dashboard_Study_Goal_Destination_and_Intake_Overview.png,images/08_Study_Abroad/P26_Study_Abroad_Dashboard/P26-A4-01_Study_Abroad_Dashboard_Study_Goal_Destination_and_Intake_Overview.png,Study Abroad,3508,2480,300,7
72,P26,Study-Abroad Dashboard,P26-A4-02,"Programme, Eligibility and Budget Progress",/study-abroad,Landscape,P26-A4-02_Study_Abroad_Dashboard_Programme_Eligibility_and_Budget_Progress.png,images/08_Study_Abroad/P26_Study_Abroad_Dashboard/P26-A4-02_Study_Abroad_Dashboard_Programme_Eligibility_and_Budget_Progress.png,Study Abroad,3508,2480,300,7
73,P26,Study-Abroad Dashboard,P26-A4-03,"Documents, Applications, Deadlines and Next Actions",/study-abroad,Landscape,P26-A4-03_Study_Abroad_Dashboard_Documents_Applications_Deadlines_and_Next_Actions.png,images/08_Study_Abroad/P26_Study_Abroad_Dashboard/P26-A4-03_Study_Abroad_Dashboard_Documents_Applications_Deadlines_and_Next_Actions.png,Study Abroad,3508,2480,300,6
74,P27,Country Comparison,P27-A4-01,Country Comparison Table,/study-abroad/countries,Landscape,P27-A4-01_Country_Comparison_Country_Comparison_Table.png,images/08_Study_Abroad/P27_Country_Comparison/P27-A4-01_Country_Comparison_Country_Comparison_Table.png,Study Abroad,3508,2480,300,8
75,P27,Country Comparison,P27-A4-02,Destination Detail and Planning Notes,/study-abroad/countries,Landscape,P27-A4-02_Country_Comparison_Destination_Detail_and_Planning_Notes.png,images/08_Study_Abroad/P27_Country_Comparison/P27-A4-02_Country_Comparison_Destination_Detail_and_Planning_Notes.png,Study Abroad,3508,2480,300,7
76,P28,University and Programme Search,P28-A4-01,Programme Search and Filters,/study-abroad/programs,Landscape,P28-A4-01_University_and_Programme_Search_Programme_Search_and_Filters.png,images/08_Study_Abroad/P28_University_and_Programme_Search/P28-A4-01_University_and_Programme_Search_Programme_Search_and_Filters.png,Study Abroad,3508,2480,300,6
77,P28,University and Programme Search,P28-A4-02,University and Programme Results,/study-abroad/programs,Landscape,P28-A4-02_University_and_Programme_Search_University_and_Programme_Results.png,images/08_Study_Abroad/P28_University_and_Programme_Search/P28-A4-02_University_and_Programme_Search_University_and_Programme_Results.png,Study Abroad,3508,2480,300,6
78,P28,University and Programme Search,P28-A4-03,Saved Programmes and Comparison,/study-abroad/programs,Landscape,P28-A4-03_University_and_Programme_Search_Saved_Programmes_and_Comparison.png,images/08_Study_Abroad/P28_University_and_Programme_Search/P28-A4-03_University_and_Programme_Search_Saved_Programmes_and_Comparison.png,Study Abroad,3508,2480,300,5
79,P29,University and Programme Detail,P29-A4-01,Institution and Programme Overview,/study-abroad/programs/:programId,Portrait,P29-A4-01_University_and_Programme_Detail_Institution_and_Programme_Overview.png,images/08_Study_Abroad/P29_University_and_Programme_Detail/P29-A4-01_University_and_Programme_Detail_Institution_and_Programme_Overview.png,Study Abroad,2480,3508,300,6
80,P29,University and Programme Detail,P29-A4-02,"Modules, Entry Requirements and Costs",/study-abroad/programs/:programId,Portrait,P29-A4-02_University_and_Programme_Detail_Modules_Entry_Requirements_and_Costs.png,images/08_Study_Abroad/P29_University_and_Programme_Detail/P29-A4-02_University_and_Programme_Detail_Modules_Entry_Requirements_and_Costs.png,Study Abroad,2480,3508,300,6
